chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2026-09-19,1,Choosin' Texas,Ella Langley,1,1,NA
2026-09-19,2,Boston,Stella Lefty,2,2,NA
2026-09-19,3,"I Knew It, I Knew You",Taylor Swift,3,1,NA
2026-09-19,4,Been By Now,Morgan Wallen,5,2,NA
2026-09-19,5,Hate That I Made You Love Me,Ariana Grande,4,1,NA
2026-09-19,6,Dracula,Tame Impala & JENNIE,6,5,NA
2026-09-19,7,So Easy (To Fall In Love),Olivia Dean,7,5,NA
2026-09-19,8,Man I Need,Olivia Dean,8,2,NA
2026-09-19,9,Be Her,Ella Langley,10,2,NA
2026-09-19,10,BbY WOW,Karol G With Judeline & rusowsky,16,10,NA
2026-09-19,11,Risk It All,Bruno Mars,9,4,NA
2026-09-19,12,Stupid Song,Olivia Rodrigo,12,3,NA
2026-09-19,13,Midnight Sun,Zara Larsson,15,13,NA
2026-09-19,14,I Can't Love You Anymore,Ella Langley & Morgan Wallen,11,4,NA
2026-09-19,15,I Just Might,Bruno Mars,14,1,NA
2026-09-19,16,Drop Dead,Olivia Rodrigo,13,1,NA
2026-09-19,17,Be By You,Luke Combs,18,12,NA
2026-09-19,18,Janice STFU,Drake,17,1,NA
2026-09-19,19,Earrings,Malcolm Todd,21,19,NA
2026-09-19,20,Babydoll,Dominic Fike,20,16,NA
2026-09-19,21,Dead Fresh,Lil Baby,23,18,NA
2026-09-19,22,Loser,Tame Impala,24,18,NA
2026-09-19,23,Jaded,Koe Wetzel & Ella Langley,27,19,NA
2026-09-19,24,Loving Life Again,Ella Langley,28,21,NA
2026-09-19,25,The Cure,Olivia Rodrigo,26,5,NA
2026-09-19,26,Oh Yeah?,Steve Lacy,29,19,NA
2026-09-19,27,Animal,KATSEYE,30,24,NA
2026-09-19,28,Spend Dat,Yung Miami,25,17,NA
2026-09-19,29,Dai Dai (FIFA World Cup Official Song 2026),Shakira X Burna Boy,31,17,NA
2026-09-19,30,Ain't In LA,ADELA,57,30,NA
2026-09-19,31,Morning Dew (Donk),Beyonce,38,26,NA
2026-09-19,32,What You Need,Tems,32,29,NA
2026-09-19,33,Take Me Back (Leave Me There),Cody Johnson,43,33,NA
2026-09-19,34,Cinderella,Mac Miller Featuring Ty Dolla $ign,33,25,NA
2026-09-19,35,Bass Persuades,Miley,-,35,NA
2026-09-19,36,Shabang,Drake,35,4,NA
2026-09-19,37,Petal,Ariana Grande,34,4,NA
2026-09-19,38,Mr. Know It All,Teddy Swims,41,38,NA
2026-09-19,39,Orbiter,Noah Kahan,36,34,NA
2026-09-19,40,Rethink Some Things,Luke Combs,50,40,NA
2026-09-19,41,AH HA,Cardi B,42,25,NA
2026-09-19,42,Cowgirl,Shaboozey,44,42,NA
2026-09-19,43,Self Aware,Temper City,37,35,NA
2026-09-19,44,Jolene,Dolly Parton,22,16,NA
2026-09-19,45,Nicole Kidman,ADELA,-,45,NA
2026-09-19,46,Bloodstream,Alyssa Grace,51,45,NA
2026-09-19,47,Freakin' Out,Dexter And The Moonrocks,39,33,NA
2026-09-19,48,Something To Lose,Stella Lefty Featuring Vincent Mason,49,40,NA
2026-09-19,49,"Phone, Keys, Wallet",Lainey Wilson & John Mayer,53,48,NA
2026-09-19,50,Hit The Wall,Gracie Abrams,47,26,NA
2026-09-19,51,Rein Me In,Sam Fender & Olivia Dean,46,45,NA
2026-09-19,52,Great Expectation,Sienna Spiro,56,52,NA
