chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2026-09-19,53,Carry On,Kenny Chesney,61,53,NA
2026-09-19,54,My Body Isn't Ready,sombr,59,30,NA
2026-09-19,55,Mexico Honey,Kacey Musgraves,58,39,NA
2026-09-19,56,WTF GOIN,Belly Gang Kushington & 21 Savage,84,56,NA
2026-09-19,57,Sue Me,Audrey Hobert,60,57,NA
2026-09-19,58,Think As You Drunk,Riley Green,69,58,NA
2026-09-19,59,Chevy Silverado,Bailey Zimmerman,64,41,NA
2026-09-19,60,Another Drink,Marshmello & Kelsea Ballerini,73,60,NA
2026-09-19,61,Noble,F3miii,71,51,NA
2026-09-19,62,Ghetto Love Story,BabyChiefDoit,68,44,NA
2026-09-19,63,Willing And Able,Noah Kahan,65,26,NA
2026-09-19,64,Still,Karol G With Bruno Mars,83,41,NA
2026-09-19,65,Maggots For Brains,Olivia Rodrigo,76,12,NA
2026-09-19,66,Empty Words,Corey Kent,85,66,NA
2026-09-19,67,Hootie Frutti,KATSEYE,67,31,NA
2026-09-19,68,Doors,Noah Kahan,66,9,NA
2026-09-19,69,SaWaDiKa,LISA,-,69,NA
2026-09-19,70,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",77,31,NA
2026-09-19,71,String By,Mack Geiger,-,71,NA
2026-09-19,72,Expectations,Olivia Rodrigo,80,20,NA
2026-09-19,73,The Feeling,Steve Lacy,87,67,NA
2026-09-19,74,Kid Myself,John Morgan,91,74,NA
2026-09-19,75,Honeybee,Olivia Rodrigo,79,9,NA
2026-09-19,76,Ahi,Karol G With Drake,78,44,NA
2026-09-19,77,South Of Sanity,Zach Top,86,77,NA
2026-09-19,78,Some Of Your Love,PARTYNEXTDOOR,62,36,NA
2026-09-19,79,All My Exes,Lauren Alaina Featuring Chase Matthew,97,79,NA
2026-09-19,80,Painted You Pretty,Hudson Westbrook,98,80,NA
2026-09-19,81,Country And She Knows It,Luke Bryan,-,81,NA
2026-09-19,82,Hands Up,Jelly Roll,-,82,NA
2026-09-19,83,In My Room,Julia Wolf,93,57,NA
2026-09-19,84,Bet On That,Blake Whiten,-,84,NA
2026-09-19,85,No Need For Leavin',Kameron Marlowe,-,85,NA
2026-09-19,86,What's Wrong With Me,Olivia Rodrigo & Robert Smith,96,17,NA
2026-09-19,87,Get To Drinkin',Zach John King,-,87,NA
2026-09-19,88,Amor,Emmanuel Cortes,-,88,NA
2026-09-19,89,Dope Girl,Rod Wave,70,70,NA
2026-09-19,90,End Of August,Noah Kahan,81,14,NA
2026-09-19,91,God I'm Just Grateful,Elevation Worship & Chandler Moore,-,91,NA
2026-09-19,92,House Tour,Sabrina Carpenter,-,27,NA
2026-09-19,93,Ran To Atlanta,Drake Featuring Future & Molly Santana,-,2,NA
2026-09-19,94,Kingdom Of Fear,Cameron Whitcomb,-,94,NA
2026-09-19,95,Stop The Wedding!,Ashe,-,95,NA
2026-09-19,96,Less,Olivia Rodrigo,-,21,NA
2026-09-19,97,Piece Of Your Love,Rod Wave,40,40,NA
2026-09-19,98,Matadora,Karol G,-,58,NA
2026-09-19,99,misery.,pupsies,-,50,NA
2026-09-19,100,Ayudame,Los Dos de Tamaulipas,-,99,NA
